,Date,Bike Usage,Day
177,2019-07-15,7827.5,1.0
178,2019-07-16,8517.0,2.0
179,2019-07-17,8006.0,3.0
180,2019-07-18,8364.0,4.0
181,2019-07-19,7557.5,5.0
182,2019-07-20,5082.5,6.0
183,2019-07-21,3757.5,7.0
184,2019-07-22,8010.5,1.0
185,2019-07-23,8298.5,2.0
186,2019-07-24,8474.5,3.0
187,2019-07-25,8540.5,4.0
188,2019-07-26,8337.0,5.0
189,2019-07-27,5113.5,6.0
190,2019-07-28,4540.5,7.0
191,2019-07-29,7458.5,1.0
192,2019-07-30,7427.5,2.0
193,2019-07-31,8334.5,3.0
194,2019-08-01,8359.5,4.0
195,2019-08-02,7937.5,5.0
196,2019-08-03,4384.0,6.0
197,2019-08-04,3476.0,7.0
198,2019-08-05,3988.0,1.0
199,2019-08-06,7151.5,2.0
200,2019-08-07,8264.5,3.0
201,2019-08-08,8228.5,4.0
202,2019-08-09,7045.0,5.0
203,2019-08-10,4550.5,6.0
204,2019-08-11,4082.0,7.0
205,2019-08-12,7030.0,1.0
206,2019-08-13,7601.0,2.0
207,2019-08-14,7776.0,3.0
208,2019-08-15,8028.0,4.0
209,2019-08-16,7253.5,5.0
210,2019-08-17,4615.5,6.0
211,2019-08-18,3827.0,7.0
212,2019-08-19,7490.5,1.0
213,2019-08-20,7482.0,2.0
214,2019-08-21,7643.5,3.0
215,2019-08-22,8056.0,4.0
216,2019-08-23,8263.5,5.0
217,2019-08-24,4968.0,6.0
218,2019-08-25,4345.0,7.0
219,2019-08-26,8058.5,1.0
220,2019-08-27,8091.5,2.0
221,2019-08-28,8189.0,3.0
222,2019-08-29,8126.0,4.0
223,2019-08-30,7822.5,5.0
224,2019-08-31,4532.5,6.0
225,2019-09-01,3964.5,7.0
226,2019-09-02,6962.0,1.0
227,2019-09-03,7897.5,2.0
228,2019-09-04,8118.5,3.0
229,2019-09-05,8391.5,4.0
230,2019-09-06,7813.5,5.0
231,2019-09-07,4722.5,6.0
232,2019-09-08,3729.5,7.0
233,2019-09-09,7405.5,1.0
234,2019-09-10,8151.0,2.0
235,2019-09-11,7963.5,3.0
236,2019-09-12,8399.0,4.0
237,2019-09-13,8293.0,5.0
238,2019-09-14,5017.5,6.0
239,2019-09-15,2848.5,7.0
240,2019-09-16,7191.0,1.0
241,2019-09-17,7609.0,2.0
242,2019-09-18,8370.0,3.0
243,2019-09-19,8572.5,4.0
244,2019-09-20,8679.5,5.0
245,2019-09-21,4577.0,6.0
246,2019-09-22,3285.5,7.0
247,2019-09-23,7084.5,1.0
248,2019-09-24,8274.5,2.0
249,2019-09-25,8385.5,3.0
250,2019-09-26,8280.0,4.0
251,2019-09-27,7902.5,5.0
252,2019-09-28,3987.0,6.0
